Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Garage Finish,Garage Type_Attchd,Garage Type_Detchd,Kitchen Qual,Heating QC,BsmtFin Type 1,Bsmt Exposure,Bsmt Cond,Bsmt Qual,Foundation_CBlock,Foundation_PConc,Exter Qual,Roof Style_Gable,Roof Style_Hip,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_Somerst,MS Zoning,MS SubClass_50,MS SubClass_60,Lot Frontage,Lot Area,Overall Qual,Year Built,BsmtFin SF 1,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area,Id,Total Flr SF
0,1,0,1,0,1,2,4,1,1,3,2,0,0,3,1,0,0,0,0,6,0,0,69.0,9142,6,1910,0,1020,1928,9,1910.0,1,440,2658,1928
0,1,0,3,1,0,3,3,1,1,3,4,1,0,3,1,0,0,0,0,8,0,0,0.0,9662,5,1977,0,1967,1967,10,1977.0,2,580,2718,1967
0,1,0,2,1,0,4,5,6,3,4,4,0,1,4,1,0,0,0,0,8,0,1,58.0,17104,7,2006,554,654,1496,7,2006.0,2,426,2414,1496
0,1,0,1,0,1,3,3,1,1,3,3,1,0,4,1,0,0,0,0,6,0,0,60.0,8520,5,1923,0,968,968,5,1935.0,2,480,1989,968
1,0,0,2,1,0,3,4,4,1,3,4,1,0,3,1,0,1,0,0,8,0,0,0.0,9500,6,1963,609,1394,1394,6,1963.0,2,514,625,1394
0,1,0,1,1,0,3,3,3,1,3,3,1,0,3,1,0,0,0,0,6,0,0,21.0,1890,4,1972,294,546,1092,5,1972.0,1,286,333,1092
0,1,0,1,0,1,3,3,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,52.0,8516,4,1958,0,869,1093,5,1959.0,1,308,1327,1093
0,1,0,1,0,1,4,3,5,3,4,4,1,0,3,1,0,0,0,0,8,0,0,0.0,9286,5,1977,196,1268,1268,5,1978.0,1,252,858,1268
0,1,0,2,1,0,4,5,1,1,3,4,0,1,4,1,0,0,0,1,7,0,0,39.0,3515,7,2004,0,840,1680,3,2004.0,2,588,95,1680
0,1,0,1,0,1,3,3,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,75.0,10125,6,1977,641,1196,1279,6,1980.0,2,473,1568,1279
0,1,0,2,1,0,4,4,6,1,3,4,0,1,4,1,0,0,0,0,8,0,0,50.0,7175,6,1991,278,1217,1217,5,1991.0,2,484,2482,1217
0,1,0,1,0,1,3,4,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,60.0,7200,6,1925,0,1040,1040,5,1993.0,2,320,1364,1040
0,1,0,1,1,0,3,5,1,1,3,3,1,0,3,0,1,1,0,0,8,0,0,75.0,11310,6,1954,0,1367,1375,5,1954.0,2,451,2584,1375
1,0,0,3,0,0,3,5,6,1,3,5,0,1,3,0,1,0,0,0,8,0,0,0.0,7976,7,2000,820,1168,2787,8,2000.0,4,820,818,2787
0,1,0,1,0,1,3,3,1,1,3,3,0,0,3,0,0,0,0,0,8,0,0,69.0,11737,6,1924,0,848,1827,9,1943.0,1,240,2673,1827
1,0,0,2,1,0,3,5,0,0,0,0,0,1,3,0,1,0,0,0,8,0,0,60.0,9060,5,1957,0,0,1340,7,1957.0,1,252,2089,1340
0,1,0,1,0,1,3,3,4,1,3,3,1,0,3,1,0,0,0,0,6,0,0,60.0,10800,6,1940,590,884,1436,8,1940.0,2,828,1297,1436
0,1,0,1,1,0,3,3,3,1,3,3,1,0,3,0,1,0,0,0,8,0,0,68.0,9571,5,1956,257,1073,1073,5,1956.0,1,340,790,1073
1,0,0,2,1,0,3,3,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,80.0,10800,6,1961,913,1313,1773,6,1961.0,2,418,2616,1773
0,1,0,1,1,0,4,4,4,1,3,3,0,0,4,1,0,0,0,0,6,0,0,121.0,17671,8,1882,216,916,1742,8,1925.0,2,424,720,1742
0,1,0,1,1,0,4,5,3,2,3,3,1,0,3,1,0,0,0,0,8,0,0,0.0,8246,5,1968,188,1060,1060,6,1968.0,1,270,222,1060
0,1,0,1,0,1,3,5,6,1,3,3,1,0,3,1,0,0,0,0,8,0,0,0.0,8499,5,1961,660,864,864,5,1982.0,2,732,557,864
0,1,0,2,1,0,4,5,2,1,3,4,0,1,4,1,0,0,0,0,8,0,0,50.0,8012,6,1993,165,1604,1617,5,1993.0,2,533,1148,1617
0,1,0,1,1,0,3,5,5,4,3,3,1,0,3,0,0,0,0,0,8,0,0,0.0,21453,6,1969,938,938,988,4,1969.0,2,540,2766,988
0,1,0,2,0,1,4,5,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,80.0,9605,7,2007,0,1218,1218,6,2007.0,2,576,534,1218
0,1,0,1,0,1,3,3,5,3,3,3,1,0,3,0,1,0,0,0,8,0,0,60.0,7180,5,1972,390,864,864,5,1989.0,1,352,1452,864
0,1,0,1,1,0,3,4,1,1,2,3,0,0,3,1,0,1,0,0,8,1,0,0.0,12513,4,1920,0,715,1738,7,1920.0,1,368,630,1738
