Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Garage Finish,Garage Type_Attchd,Garage Type_Detchd,Kitchen Qual,Heating QC,BsmtFin Type 1,Bsmt Exposure,Bsmt Cond,Bsmt Qual,Foundation_CBlock,Foundation_PConc,Exter Qual,Roof Style_Gable,Roof Style_Hip,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_Somerst,MS Zoning,MS SubClass_50,MS SubClass_60,Lot Frontage,Lot Area,Overall Qual,Year Built,BsmtFin SF 1,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area,SalePrice,Total Flr SF
1,0,0,2,1,0,4,5,6,1,3,3,1,0,4,1,0,0,0,0,8,0,1,49.65954967006404,13517,6,1976,533.0,725.0,1479,6,1976.0,2.0,475.0,130500,1479
1,0,0,2,1,0,4,5,6,1,3,4,0,1,4,1,0,0,0,0,8,0,1,43.0,11492,7,1996,637.0,913.0,2122,8,1997.0,2.0,559.0,220000,2122
0,1,0,1,0,1,4,3,6,1,3,3,1,0,3,1,0,1,0,0,8,0,0,68.0,7922,5,1953,731.0,1057.0,1057,5,1953.0,1.0,246.0,109000,1057
0,1,0,3,0,0,3,4,1,1,3,4,0,1,3,1,0,0,0,0,8,0,1,73.0,9802,5,2006,0.0,384.0,1444,7,2007.0,2.0,400.0,174000,1444
0,1,0,1,0,1,3,3,1,1,4,2,0,1,3,1,0,0,0,0,8,1,0,82.0,14235,6,1900,0.0,676.0,1445,6,1957.0,2.0,484.0,138500,1445
0,1,0,3,1,0,4,5,5,1,3,3,1,0,4,1,0,1,0,0,8,0,0,137.0,16492,6,1966,247.0,1517.0,1888,6,1966.0,2.0,578.0,190000,1888
1,0,0,3,0,0,3,4,6,4,3,4,0,1,3,1,0,0,0,0,6,0,0,35.0,3675,6,2005,547.0,547.0,1072,5,2005.0,2.0,525.0,140000,1072
1,0,0,2,1,0,3,2,3,1,3,3,1,0,3,0,1,1,0,0,8,0,0,54.03567856819229,12160,5,1959,1000.0,1188.0,1188,6,1959.0,2.0,531.0,142000,1188
0,1,0,1,0,1,3,3,3,1,3,3,1,0,3,1,0,0,0,0,8,0,0,42.80995661212417,15783,5,1952,292.0,924.0,924,6,1952.0,1.0,420.0,112500,924
1,0,0,1,1,0,2,3,3,3,3,4,0,1,3,1,0,1,0,0,8,0,1,70.0,11606,5,1969,650.0,1040.0,2080,9,1969.0,2.0,504.0,135000,2080
1,0,0,1,0,1,3,3,5,1,3,3,1,0,3,1,0,0,0,0,6,0,0,21.0,1680,6,1971,387.0,483.0,987,4,1971.0,1.0,264.0,85400,987
0,1,0,2,1,0,4,5,6,3,3,4,0,1,4,1,0,0,0,0,8,0,0,64.0,7488,7,2005,393.0,1208.0,1208,6,2005.0,2.0,632.0,183600,1208
0,1,0,1,1,0,3,5,0,0,0,0,0,1,4,1,0,0,0,0,8,0,0,120.0,26400,5,1880,0.0,0.0,2016,7,1900.0,2.0,576.0,131000,2016
1,0,0,1,0,1,4,5,6,1,3,4,0,1,4,1,0,0,0,1,7,0,0,24.0,2645,8,1999,813.0,960.0,1607,7,2000.0,2.0,480.0,200000,1607
0,1,0,2,1,0,4,5,6,3,3,4,0,1,4,1,0,0,0,0,8,0,0,74.0,9627,7,2007,24.0,1351.0,1361,6,2007.0,2.0,610.0,193000,1361
0,1,0,2,1,0,4,5,1,3,3,5,0,1,3,1,0,0,0,0,8,0,0,93.0,10114,5,2004,0.0,1430.0,1430,7,2004.0,2.0,624.0,173500,1430
0,1,0,1,0,1,3,2,1,1,3,3,0,0,3,1,0,0,0,0,6,0,0,34.0,4571,5,1916,0.0,624.0,1344,7,1916.0,3.0,513.0,98000,1344
0,1,0,1,0,1,3,3,3,1,3,3,0,1,3,1,0,0,0,0,8,0,0,80.0,8816,5,1963,651.0,1121.0,1121,5,1963.0,2.0,480.0,139000,1121
1,0,0,2,1,0,3,5,1,1,3,3,1,0,3,1,0,0,0,0,8,0,0,71.0,8197,6,1977,0.0,660.0,1285,7,1977.0,2.0,528.0,143500,1285
0,1,0,1,1,0,4,5,6,2,3,4,0,1,3,1,0,0,0,1,7,0,1,72.0,8640,7,2009,24.0,756.0,1547,7,2009.0,2.0,614.0,215200,1547
0,1,0,3,1,0,3,4,4,1,3,4,1,0,3,1,0,0,0,0,8,0,0,109.0,8724,5,1968,492.0,894.0,894,5,1968.0,2.0,450.0,129000,894
0,1,0,3,1,0,5,5,6,1,3,4,0,1,4,1,0,0,0,0,8,0,0,40.0,5664,8,2000,1158.0,1501.0,1659,5,2000.0,2.0,499.0,278000,1659
0,0,0,3,1,0,5,5,1,3,3,5,0,1,4,1,0,0,0,0,8,0,1,103.0,12867,8,2005,0.0,1209.0,2253,8,2005.0,2.0,575.0,344133,2253
0,1,0,3,1,0,3,5,5,1,3,4,0,1,3,1,0,0,0,0,8,0,0,70.3985953177153,7980,6,1992,935.0,1168.0,1187,6,1992.0,2.0,420.0,185000,1187
0,1,0,3,1,0,3,3,3,2,3,3,1,0,3,0,1,0,0,0,8,0,0,100.0,34650,5,1955,1056.0,1056.0,1056,5,1955.0,2.0,572.0,145000,1056
1,0,0,2,1,0,3,5,3,1,3,3,1,0,3,0,1,1,0,0,8,0,0,92.0,10573,6,1961,1312.0,1453.0,1453,6,1961.0,2.0,530.0,187500,1453
0,1,0,1,0,1,3,5,6,1,3,3,1,0,3,1,0,0,0,0,8,0,0,65.0,8450,5,1965,553.0,894.0,894,5,1973.0,1.0,336.0,138500,894
0,1,0,1,0,1,4,5,4,1,3,3,1,0,3,1,0,0,0,0,8,1,0,75.34552363733854,11700,5,1937,606.0,942.0,1938,7,1937.0,1.0,240.0,198000,1938
0,1,0,2,0,0,3,2,1,1,3,3,1,0,3,1,0,0,0,0,3,0,0,75.0,8250,5,1895,0.0,957.0,1991,9,1895.0,0.0,0.0,119600,1991
0,1,0,1,0,1,3,5,1,2,3,3,1,0,3,1,0,1,0,0,8,1,0,60.0,8064,5,1949,0.0,672.0,924,6,2003.0,2.0,576.0,122900,924
0,1,0,3,1,0,4,3,5,1,3,4,0,1,4,0,1,0,0,0,8,0,0,80.0,9600,8,1981,1104.0,2524.0,2524,9,1981.0,2.0,542.0,278000,2524
0,1,0,1,0,1,4,2,1,1,3,4,0,1,3,1,0,0,0,0,8,0,0,87.52257796256497,11435,8,1929,0.0,792.0,1517,7,1931.0,2.0,400.0,230000,1517
0,1,0,3,1,0,5,5,2,3,4,4,0,1,4,0,1,0,0,0,8,0,0,30.0,9549,8,1995,437.0,1494.0,1494,6,1995.0,2.0,481.0,270000,1494
0,1,0,1,0,1,3,3,5,1,3,3,1,0,3,0,1,1,0,0,8,0,0,60.0,10950,6,1952,441.0,948.0,948,5,1952.0,2.0,410.0,125000,948
0,0,1,2,1,0,4,5,6,4,3,5,0,1,4,0,1,0,0,0,8,0,0,79.0,10637,8,2007,1288.0,1705.0,1718,7,2007.0,3.0,826.0,297000,1718
1,0,0,2,0,0,3,2,1,4,3,4,1,0,3,0,0,1,0,0,8,0,0,80.0,9000,6,1958,0.0,160.0,1142,5,1958.0,1.0,384.0,113500,1142
0,1,0,2,1,0,3,5,5,1,3,3,0,1,3,1,0,0,0,0,6,0,0,41.0,2665,5,1977,548.0,757.0,1475,6,1977.0,1.0,336.0,127000,1475
1,0,0,2,1,0,3,5,4,1,3,4,1,0,3,0,1,0,0,0,8,0,0,105.0,11751,6,1977,705.0,1844.0,1844,7,1977.0,2.0,546.0,190000,1844
1,0,0,1,1,0,3,2,5,1,3,3,1,0,3,0,1,0,0,0,8,0,0,80.0,9600,7,1973,916.0,1242.0,1242,6,1973.0,2.0,528.0,175500,1242
0,1,0,1,0,1,3,5,6,1,4,4,0,1,3,1,0,0,0,0,8,0,0,60.0,8428,5,1994,420.0,990.0,990,5,1995.0,1.0,384.0,146000,990
0,1,0,3,1,0,3,4,4,1,3,3,1,0,4,1,0,0,0,0,8,0,0,75.0,9937,5,1965,830.0,1256.0,1256,6,1965.0,1.0,276.0,147500,1256
0,0,0,3,1,0,5,5,6,4,4,5,0,1,5,1,0,0,0,0,8,0,0,107.0,13891,10,2006,1386.0,2076.0,2076,7,2006.0,3.0,850.0,465000,2076
1,0,0,3,1,0,4,5,6,3,3,4,0,1,3,1,0,0,0,0,8,0,0,62.978202838280446,9101,5,1978,1097.0,1097.0,1110,4,1978.0,2.0,602.0,165500,1110
1,0,0,1,1,0,3,5,1,1,3,3,0,0,3,1,0,0,0,0,6,1,0,81.0,12150,5,1954,0.0,1050.0,1795,7,1954.0,1.0,352.0,131500,1795
0,1,0,1,0,1,3,5,3,1,3,3,1,0,3,0,1,0,0,0,8,0,0,70.0,11200,5,1965,906.0,1040.0,1040,5,1965.0,1.0,384.0,129500,1040
0,0,1,3,0,1,3,3,2,1,2,3,0,1,3,1,0,0,0,0,8,0,0,100.0,9670,8,1935,210.0,608.0,1873,9,1935.0,2.0,786.0,257076,1873
0,1,0,1,0,1,3,5,2,1,3,3,1,0,3,1,0,0,0,0,8,1,0,60.0,10998,5,1941,408.0,984.0,1604,6,1977.0,2.0,660.0,117000,1604
0,1,0,2,1,0,3,3,1,1,3,4,0,0,3,1,0,0,0,0,8,0,0,60.0,7200,7,1931,0.0,776.0,1502,6,1931.0,1.0,270.0,149000,1502
0,0,1,2,1,0,3,3,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,80.0,9920,5,1954,354.0,1056.0,1063,6,1954.0,1.0,280.0,128000,1063
0,0,1,2,0,0,4,5,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,36.0,2448,7,2003,0.0,764.0,1626,6,2003.0,2.0,474.0,155000,1626
1,0,0,1,0,1,4,5,6,1,3,4,0,1,4,1,0,0,0,1,7,0,0,63.16846931211211,2998,6,2000,353.0,756.0,1524,4,2000.0,2.0,440.0,166000,1524
0,1,0,1,0,1,4,3,4,1,3,3,0,0,3,1,0,0,0,0,8,1,0,65.0,7804,4,1928,622.0,1122.0,1981,7,1981.0,2.0,576.0,135000,1981
1,0,0,2,1,0,4,3,4,1,3,4,1,0,3,1,0,0,0,0,8,0,1,80.0,16692,7,1978,790.0,1392.0,2784,12,1978.0,2.0,564.0,250000,2784
0,1,0,2,0,0,3,5,6,1,3,3,1,0,3,1,0,0,0,0,6,0,0,21.0,1476,4,1970,176.0,546.0,1092,5,1970.0,0.0,0.0,76000,1092
1,0,0,1,1,0,4,3,1,1,3,3,1,0,3,0,1,1,0,0,8,0,0,75.0,10170,6,1951,0.0,216.0,1575,5,1951.0,2.0,400.0,155000,1575
0,0,1,3,1,0,3,3,5,1,3,3,1,0,3,1,0,0,0,0,8,0,1,80.0,9364,6,1969,371.0,663.0,1352,7,1969.0,1.0,299.0,158000,1352
0,1,0,2,0,1,4,5,6,1,3,4,0,1,4,1,0,0,0,1,7,0,0,24.0,2544,7,2004,368.0,600.0,1200,4,2004.0,2.0,480.0,149500,1200
0,1,0,1,1,0,3,3,4,1,3,3,1,0,3,1,0,1,0,0,8,0,0,82.0,9888,5,1954,486.0,936.0,936,5,1954.0,1.0,240.0,121000,936
0,1,0,3,1,0,3,3,3,1,3,3,1,0,3,0,1,1,0,0,8,0,0,68.0,7942,6,1953,85.0,1040.0,1040,6,1953.0,1.0,293.0,136000,1040
0,1,0,3,1,0,3,4,3,1,3,4,0,1,3,1,0,0,0,0,8,0,1,65.83219994575539,15038,6,1996,138.0,916.0,1636,7,1996.0,2.0,386.0,173000,1636
1,0,0,3,1,0,4,5,6,1,3,4,0,1,4,1,0,0,1,0,8,0,1,92.0,11764,8,1999,524.0,1152.0,2270,9,1999.0,3.0,671.0,290000,2270
0,1,0,3,0,0,5,5,6,3,3,4,0,1,4,1,0,0,0,1,7,0,1,75.0,9000,8,2007,64.0,1184.0,2610,11,2007.0,2.0,550.0,303477,2610
0,1,0,2,1,0,3,4,5,4,3,4,1,0,4,0,1,0,0,0,8,0,0,102.74389586909801,20062,7,1977,1092.0,1420.0,1483,4,1977.0,2.0,690.0,270000,1483
0,1,0,1,0,1,5,4,3,1,3,3,0,0,2,1,0,0,0,0,6,1,0,81.0,7308,5,1920,360.0,936.0,1740,6,1920.0,1.0,225.0,122250,1740
0,1,0,1,1,0,4,4,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,70.0,8750,5,1955,172.0,1382.0,1382,6,1955.0,1.0,350.0,153000,1382
0,1,0,2,0,0,3,5,5,1,3,4,0,1,3,1,0,0,0,0,8,0,0,70.0,8402,5,2007,206.0,1120.0,1120,6,2007.0,0.0,0.0,147000,1120
0,1,0,1,0,1,3,3,6,1,3,4,0,0,3,1,0,0,0,0,8,0,0,63.0,4000,7,1930,246.0,531.0,1098,5,1930.0,1.0,216.0,148500,1098
0,0,1,1,0,1,4,5,1,1,3,4,0,1,4,1,0,0,0,0,6,0,0,32.0,3363,7,2004,0.0,976.0,1708,7,2004.0,2.0,380.0,130000,1708
0,0,1,3,1,0,5,5,1,4,3,5,0,1,5,0,1,0,0,0,8,0,0,94.0,13615,9,2006,0.0,1802.0,1802,7,2006.0,3.0,843.0,372000,1802
1,0,0,3,1,0,4,5,6,4,3,4,0,1,4,1,0,0,0,0,8,0,0,43.0,3013,7,2005,16.0,1362.0,1506,6,2005.0,2.0,440.0,213490,1506
0,0,1,2,1,0,4,5,6,4,3,4,0,1,4,1,0,0,0,0,8,0,0,44.0,17485,7,2009,1346.0,1508.0,1508,5,2009.0,2.0,572.0,308030,1508
1,0,0,3,1,0,4,5,6,2,3,5,0,1,4,1,0,0,0,0,8,0,0,114.1598842989978,23730,7,1996,700.0,1840.0,2032,7,1996.0,3.0,786.0,300000,2032
